PersonID,First Name,Last Name,GPA,Major,Graduated,Phone #,Email,School ID,ExpectedSalary,Comments
7252,Britanney,Wiggins,3.02,Economics,1,1-423-546-8022,magnis@velvenenatis.net,1347,106496,lorem tristique
9442,Silas,Mills,2.68,Political Science,1,(223) 335-9534,enim.sit.amet@malesuadavel.ca,3727,138529,vitae nibh. Donec est
6821,Myles,Hensley,3.62,Chemistry,1,(176) 568-2311,ipsum.dolor@luctusetultrices.edu,6424,177960,"Medge,Molina,6,(561) 664-6953,elit.erat@orci.net,vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem ipsum dolor sit amet, consectetuer adipiscing,William_Sheppard_Files.pdf"
8045,Ruby,Lawrence,3.35,Chemistry,0,(452) 359-6081,praesent.interdum@aliquameros.co.uk,1640,83917,tortor. Nunc commodo
4440,Karly,Hartman,3.45,Entrepreneurship,1,1-254-438-4713,justo.eu.arcu@tinciduntcongue.org,9988,115852,"Medge,Molina,6,(561) 664-6953,elit.erat@orci.net,vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem ipsum dolor sit amet, consectetuer adipiscing,William_Sheppard_Files.pdf"
7728,Medge,Molina,3.35,Nursing,0,(561) 664-6953,elit.erat@orci.net,4965,192319,"Medge,Molina,6,(561) 664-6953,elit.erat@orci.net,vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem ipsum dolor sit amet, consectetuer adipiscing,William_Sheppard_Files.pdf"
6935,Wyoming,Alvarado,2.82,Agricultural Sciences,0,1-575-887-6737,malesuada.augue.ut@etnetus.edu,5086,98797,"Medge,Molina,6,(561) 664-6953,elit.erat@orci.net,vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem ipsum dolor sit amet, consectetuer adipiscing,William_Sheppard_Files.pdf"
6255,Glenna,Riddle,2.79,Human Resources,1,(567) 367-3898,vivamus.molestie@inatpede.ca,5688,164073,Pellentesque habitant morbi tristique senectus et
3418,Carson,Morse,3.42,Civil Engineering,0,(642) 891-3268,dolor.sit.amet@eratetiamvestibulum.edu,1381,149730,Nunc sed orci lobortis augue
8482,Boris,Noble,3.84,Food Science,0,(712) 344-3343,suspendisse@malesuadafringilla.com,5865,114429,vitae diam. Proin dolor.
1616,Ferris,Slater,3.18,Biomedical Engineering,0,(565) 352-5367,molestie.in@duiaugue.net,3575,116784,sollicitudin adipiscing
8087,Brock,Boyle,3.84,Civil Engineering,0,(403) 920-7887,ultrices@nibhsit.org,5285,153734,"Medge,Molina,6,(561) 664-6953,elit.erat@orci.net,vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem ipsum dolor sit amet, consectetuer adipiscing,William_Sheppard_Files.pdf"
9039,Angelica,Griffin,3.73,Industrial Engineering,0,1-953-197-2268,ante.maecenas.mi@etmagnis.com,1787,72578,Duis ac arcu. Nunc mauris. Morbi non sapien molestie orci tincidunt adipiscing. Mauris molestie pharetra nibh.
5711,George,Rowe,2.88,Agricultural Sciences,0,(436) 645-7577,scelerisque.neque@velesttempor.org,8079,94372,vitae dolor. Donec fringilla.
7914,Jerry,Lott,3.66,Computer Engineering,1,1-688-372-6412,tellus@condimentum.com,1510,125001,et libero. Proin mi. Aliquam
6333,Gareth,Pacheco,3.25,Political Science,1,1-811-213-4133,vestibulum.ante.ipsum@loremvehicula.net,6006,79112,"Medge,Molina,6,(561) 664-6953,elit.erat@orci.net,vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem ipsum dolor sit amet, consectetuer adipiscing,William_Sheppard_Files.pdf"
1936,Chaney,Best,3.80,Finance,0,1-273-873-3661,turpis.non@nuncpulvinar.ca,2925,93432,"Medge,Molina,6,(561) 664-6953,elit.erat@orci.net,vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem ipsum dolor sit amet, consectetuer adipiscing,William_Sheppard_Files.pdf"
9632,Jack,Powers,2.68,Industrial Engineering,0,1-766-365-7427,mus.proin.vel@magnauttincidunt.ca,2102,89870,dictum
7315,Ryan,Reid,3.54,Political Science,1,(762) 655-9342,velit.aliquam.nisl@elitetiamlaoreet.com,6929,198012,"Medge,Molina,6,(561) 664-6953,elit.erat@orci.net,vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem ipsum dolor sit amet, consectetuer adipiscing,William_Sheppard_Files.pdf"
2271,Joshua,Woodward,3.20,Food Science,1,(372) 639-9522,augue.eu@ipsum.com,7243,180994,Sed eu eros. Nam consequat dolor vitae dolor.
4650,Bernard,Baldwin,3.61,Economics,0,(865) 224-8242,vestibulum.ante@utodiovel.org,8734,88961,"Medge,Molina,6,(561) 664-6953,elit.erat@orci.net,vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem ipsum dolor sit amet, consectetuer adipiscing,William_Sheppard_Files.pdf"
